name,display_name,lat,lon,height_m
A' Bhuidheanach Bheag,A' Bhuidheanach Bheag,56.87036,-4.19901,936
A' Chailleach,"A' Chailleach (Monadhliath, 929 m)",57.10958,-4.17929,929
A' Chailleach,"A' Chailleach (Fannichs, 999 m)",57.69379,-5.12872,999
A' Chraileag [A' Chralaig],A' Chraileag [A' Chralaig],57.18421,-5.15484,1120
A' Ghlas-bheinn,A' Ghlas-bheinn,57.2551,-5.30369,918
A' Mhaighdean,A' Mhaighdean,57.71967,-5.34673,967
A' Mharconaich,A' Mharconaich,56.85702,-4.29067,973
Am Basteir,Am Basteir,57.24797,-6.20298,934
Am Bodach,Am Bodach,56.74174,-4.98341,1032
Am Faochagach,Am Faochagach,57.77182,-4.8539,953
An Caisteal,An Caisteal,56.33861,-4.62438,996
An Coileachan,An Coileachan,57.66764,-4.9495,924
An Gearanach,An Gearanach,56.75919,-4.96625,982
An Riabhachan,An Riabhachan,57.36246,-5.10474,1129
An Sgarsoch,An Sgarsoch,56.93212,-3.75429,1006
An Socach,"An Socach (Braemar, 944 m)",56.90231,-3.51317,944
An Socach,"An Socach (Glen Cannich, 1069 m)",57.35025,-5.15861,1069
An Socach,"An Socach (Glen Affric, 920 m)",57.25757,-5.17132,920
An Stuc,An Stuc,56.5601,-4.21627,1117
Aonach Beag,"Aonach Beag (Ben Alder area, 1116 m)",56.83351,-4.52919,1116
Aonach Beag,"Aonach Beag (Nevis range, 1234 m)",56.80001,-4.95413,1234
Aonach Meadhoin,Aonach Meadhoin,57.17305,-5.22917,1001
Aonach Mor,Aonach Mor,56.81295,-4.96172,1220
Aonach air Chrith,Aonach air Chrith,57.12466,-5.2213,1020
Beinn Achaladair,Beinn Achaladair,56.5519,-4.69454,1039
Beinn Bheoil,Beinn Bheoil,56.81329,-4.43066,1019
Beinn Bhreac,Beinn Bhreac,57.05508,-3.55347,931
Beinn Bhrotain,Beinn Bhrotain,57.00988,-3.7238,1157
Beinn Bhuidhe,Beinn Bhuidhe,56.32667,-4.90674,948
Beinn Chabhair,Beinn Chabhair,56.32579,-4.6415,932
Beinn Challuim [Ben Challum],Beinn Challuim [Ben Challum],56.45459,-4.61919,1025
Beinn Dearg,"Beinn Dearg (Blair Atholl, 1009 m)",56.87736,-3.88371,1009
Beinn Dearg,"Beinn Dearg (Ullapool, 1084 m)",57.78637,-4.92956,1084
Beinn Dorain,Beinn Dorain,56.50288,-4.72216,1076
Beinn Dubhchraig,Beinn Dubhchraig,56.39131,-4.74322,978
Beinn Eibhinn,Beinn Eibhinn,56.82527,-4.54209,1103
Beinn Eunaich,Beinn Eunaich,56.45036,-5.02666,989
Beinn Fhada,Beinn Fhada,57.22102,-5.28351,1032
Beinn Fhionnlaidh,"Beinn Fhionnlaidh (Appin, 959 m)",56.601,-5.10477,959
Beinn Fhionnlaidh,"Beinn Fhionnlaidh (Glen Affric, 1005 m)",57.306,-5.12992,1005
Beinn Ghlas,Beinn Ghlas,56.53601,-4.23699,1103
Beinn Ime,Beinn Ime,56.2368,-4.81714,1012
Beinn Iutharn Mhor,Beinn Iutharn Mhor,56.89501,-3.56823,1045
Beinn Liath Mhor,Beinn Liath Mhor,57.51211,-5.40062,926
Beinn Liath Mhor Fannaich,Beinn Liath Mhor Fannaich,57.70612,-4.98977,954
Beinn Mhanach,Beinn Mhanach,56.53405,-4.64605,953
Beinn Mheadhoin,Beinn Mheadhoin,57.09586,-3.61147,1183
Beinn Narnain,Beinn Narnain,56.22096,-4.78902,927
Beinn Sgritheall,Beinn Sgritheall,57.15384,-5.57972,974
Beinn Sgulaird,Beinn Sgulaird,56.56625,-5.17038,937
Beinn Sheasgarnaich [Beinn Heasgarnich],Beinn Sheasgarnaich [Beinn Heasgarnich],56.51028,-4.57923,1077
Beinn Tarsuinn,Beinn Tarsuinn,57.70207,-5.29164,934
Beinn Teallach,Beinn Teallach,56.93594,-4.69477,915
Beinn Tulaichean,Beinn Tulaichean,56.34223,-4.56334,946
Beinn Udlamain,Beinn Udlamain,56.83546,-4.32998,1010
Beinn a' Bhuird North Top,Beinn a' Bhuird North Top,57.0876,-3.49937,1197
Beinn a' Chaorainn,"Beinn a' Chaorainn (Cairngorms, 1083 m)",57.09328,-3.57744,1083
Beinn a' Chaorainn,"Beinn a' Chaorainn (Glen Spean, 1049 m)",56.92864,-4.65366,1049
Beinn a' Chlachair,Beinn a' Chlachair,56.86954,-4.5097,1087
Beinn a' Chleibh,Beinn a' Chleibh,56.39024,-4.83565,916
Beinn a' Chochuill,Beinn a' Chochuill,56.44979,-5.06855,980
Beinn a' Chreachain,Beinn a' Chreachain,56.5604,-4.64763,1081
Beinn a' Chroin,Beinn a' Chroin,56.332,-4.60965,941
Beinn an Dothaidh,Beinn an Dothaidh,56.53014,-4.71397,1004
Beinn na Lap,Beinn na Lap,56.7894,-4.66001,935
Beinn nan Aighenan,Beinn nan Aighenan,56.52023,-5.01127,960
Ben Alder,Ben Alder,56.81381,-4.4651,1148
Ben Chonzie,Ben Chonzie,56.45386,-3.99206,931
Ben Cruachan,Ben Cruachan,56.42685,-5.13185,1127
Ben Hope,Ben Hope,58.41313,-4.60785,927
Ben Klibreck - Meall nan Con,Ben Klibreck - Meall nan Con,58.23522,-4.41112,962
Ben Lawers,Ben Lawers,56.54493,-4.22086,1214
Ben Lomond,Ben Lomond,56.1903,-4.63303,974
Ben Lui [Beinn Laoigh],Ben Lui [Beinn Laoigh],56.39702,-4.81053,1131
Ben Macdui [Beinn Macduibh],Ben Macdui [Beinn Macduibh],57.07038,-3.6691,1309
Ben More,"Ben More (Crianlarich, 1174 m)",56.38597,-4.5401,1174
Ben More,"Ben More (Mull, 966 m)",56.42485,-6.01405,966
Ben More Assynt,Ben More Assynt,58.13819,-4.85821,998
Ben Nevis,Ben Nevis,56.7969,-5.0037,1345
Ben Oss,Ben Oss,56.38929,-4.77551,1029
Ben Starav,Ben Starav,56.53894,-5.04977,1080
Ben Vane,Ben Vane,56.24979,-4.78168,916
Ben Vorlich,"Ben Vorlich (Loch Lomond, 943 m)",56.27403,-4.75507,943
Ben Vorlich,"Ben Vorlich (Loch Earn, 985 m)",56.34269,-4.21946,985
Bidean nam Bian,Bidean nam Bian,56.64278,-5.02935,1149
Bidein a' Choire Sheasgaich,Bidein a' Choire Sheasgaich,57.41974,-5.25048,945
Bidein a' Ghlas Thuill (An Teallach),Bidein a' Ghlas Thuill (An Teallach),57.80712,-5.25178,1062
Binnein Beag,Binnein Beag,56.76697,-4.91117,943
Binnein Mor,Binnein Mor,56.75439,-4.9258,1130
